u1,u2,u3,cx,id,measure,x,rz,reset,sx,Machine,AvgDegree,NumQubit,PST,TVD,Entropy,Swaps
0,36,30,18,0,10,-1,-1,-1,-1,22,2.5714285714285716,14,0.3876953125,0.6123046867749999,3.1807994724624966,4
-1,-1,-1,18,0,10,0,162,0,96,12,4.0,16,0.6552734375,0.344726562195,1.7873186593593315,26
0,36,30,18,0,10,-1,-1,-1,-1,32,2.75,16,0.9990234375,0.000976562495,0.007750032879220652,0
0,36,30,18,0,10,-1,-1,-1,-1,0,4.6,20,0.5341796875,0.46582031209499997,2.3317447478155042,17
0,36,30,18,0,10,-1,-1,-1,-1,4,4.6,20,0.439453125,0.56054687452,2.725067620754186,6
0,36,30,18,0,10,-1,-1,-1,-1,15,4.6,20,0.2783203125,0.7216796866699999,3.5880970462181825,15
0,36,30,18,0,10,-1,-1,-1,-1,28,4.6,20,0.3828125,0.6171874991949999,3.2556044443478984,15
0,36,30,18,0,10,-1,-1,-1,-1,34,4.6,20,0.4638671875,0.536132812005,2.655725677205698,8
0,36,30,18,0,10,-1,-1,-1,-1,37,7.0,20,0.30859375,0.6914062492349999,3.4936018292463387,18
-1,-1,-1,18,0,10,0,162,0,96,8,4.148148148148148,27,0.748046875,0.251953124805,1.3304277383092125,33
-1,-1,-1,18,0,10,0,162,0,96,13,4.148148148148148,27,0.6904296875,0.309570312175,1.6782816128943776,27
-1,-1,-1,18,0,10,0,162,0,96,16,4.148148148148148,27,0.7802734375,0.21972656226499998,1.2414174911327396,28
-1,-1,-1,18,0,10,0,162,0,96,23,4.148148148148148,27,0.748046875,0.279296874745,1.4982751463416188,27
-1,-1,-1,18,0,10,0,162,0,96,24,4.148148148148148,27,0.6337890625,0.36621093712999997,1.8978132679245359,25
-1,-1,-1,18,0,10,0,162,0,96,27,4.148148148148148,27,0.6123046875,0.38769531218,1.9481223548701434,27
-1,-1,-1,18,0,10,0,162,0,96,35,4.148148148148148,27,0.6455078125,0.354492187195,1.7980986029587847,28
-1,-1,-1,18,0,10,0,162,0,96,38,4.148148148148148,27,0.189453125,0.8105468739249999,4.182150239646244,29
0,36,30,18,0,10,-1,-1,-1,-1,9,4.285714285714286,28,0.3671875,0.6416015617649999,3.256662435435782,25
0,36,30,18,0,10,-1,-1,-1,-1,30,4.377358490566038,53,0.1240234375,0.8837890612349999,4.551077723515824,24
-1,-1,-1,18,0,10,0,162,0,96,6,4.430769230769231,65,0.5595703125,0.44042968709999997,2.2084208551411364,0
-1,-1,-1,18,0,10,0,162,0,96,20,4.430769230769231,65,0.169921875,0.839843749345,3.287759037278738,0
-1,-1,-1,18,0,10,0,162,0,96,41,4.47244094488189,127,0.626953125,0.37304687464999997,1.9006796300768811,17
